c,N,visc
0.0013222016882834245,9090.90909090909,0.99601
0.0026509143943776008,9090.90909090909,3.99002
0.005328803005399745,9090.90909090909,10.97605
0.010765967950078434,9090.90909090909,47.9022
0.016315215415642213,9090.90909090909,253.49102
0.02197980091099645,9090.90909090909,647.70259
0.03367010085385129,9090.90909090909,4190.61677
0.04586733004054324,9090.90909090909,16965.06786
0.058605903850929154,9090.90909090909,54889.21956
0.0013222016882834245,22727.272727272728,2.99202
0.0026509143943776008,22727.272727272728,8.98004
0.005328803005399745,22727.272727272728,40.91617
0.010765967950078434,22727.272727272728,328.34132
0.016315215415642213,22727.272727272728,1735.52695
0.02197980091099645,22727.272727272728,7084.82834
0.03367010085385129,22727.272727272728,69859.27944
0.04586733004054324,22727.272727272728,274450.0978
0.058605903850929154,22727.272727272728,1297404.18962
0.0005280900517220642,90909.09090909091,2.99202
0.0013222016882834245,90909.09090909091,11.97405
0.0026509143943776008,90909.09090909091,95.80639
0.004254485066625665,90909.09090909091,507.98204
0.005328803005399745,90909.09090909091,1496.00599
0.008033665833066434,90909.09090909091,10977.04391
0.010765967950078434,90909.09090909091,44909.17964
0.013526406965486898,90909.09090909091,121755.48703
0.016315215415642213,90909.09090909091,239519.95808
0.02197980091099645,90909.09090909091,693611.77445
0.027763445017747305,90909.09090909091,3097803.39122
