c,N,visc
6.695406114828524e-05,1250.0,2.1255
8.695713246912469e-05,1250.0,2.37629
0.00015172261104097793,1250.0,3.56127
0.00023861921502545602,1250.0,4.53971
0.0002568956316790085,1250.0,5.77434
0.0003623681090305538,1250.0,6.28844
0.0006197288543284257,1250.0,9.02098
0.0006418185655147132,1250.0,10.62884
0.0009375925985951432,1250.0,11.98733
0.0012914707912265835,1250.0,14.885
0.0016338613146140433,1250.0,24.08222
0.0022281267911645635,1250.0,39.30457
0.003178490900020137,1250.0,75.08833
0.0038489075816755067,1250.0,126.91566
0.00576508012010069,1250.0,335.12691
0.0076677006493844745,1250.0,650.11027
0.007980846357558476,1250.0,1026.8031
0.009021668693863522,1250.0,1525.43602
0.011600561239264803,1250.0,3932.24628
0.00012766731695853506,1250.0,1.57523
0.00015382517945501743,1250.0,1.95173
0.00019779753069590727,1250.0,2.43947
0.00024192598171299091,1250.0,2.97663
0.0003282714579162132,1250.0,3.92098
0.00044155210978716883,1250.0,5.21031
0.0006135581346041915,1250.0,6.96918
0.0008409158657756632,1250.0,9.75989
0.00128502610046658,1250.0,15.92911
0.001840024519030053,1250.0,26.22631
0.0025472234050922405,1250.0,46.31004
0.0031468440596791247,1250.0,68.79898
0.00023040645537182898,1250.0,1.71548
0.0004917015521717293,1250.0,3.85298
0.0009844671313893512,1250.0,9.10024
0.0019320118871442814,1250.0,24.93978
0.0029083777587201446,1250.0,56.01501
0.0038682129825680506,1250.0,109.61783
0.0002087277007391944,1250.0,1.16487
0.0002765705748988691,1250.0,1.58907
0.0003605586259105926,1250.0,2.08864
0.00047063763951471537,1250.0,2.87428
0.000610493481855243,1250.0,3.92098
0.0007438982620163312,1250.0,4.98733
0.0008918362499120381,1250.0,6.45565
0.0010651866442301589,1250.0,8.28348
0.0014026170175863168,1250.0,12.6333
0.0017263074249276983,1250.0,18.12289
0.0021114469870242435,1250.0,25.37995
0.002572839696936622,1250.0,38.37034
0.0031468440596791247,1250.0,60.47085
0.0038489075816755067,1250.0,100.43631
0.005074513824477443,1250.0,223.61629
0.007302618315673978,1250.0,752.69849
0.00041013782625558775,1250.0,1.91788
0.000581427066386006,1250.0,2.84924
0.0007255199026517951,1250.0,3.85298
0.0009236264471903718,1250.0,5.29068
0.001187648511509087,1250.0,7.67311
0.0015252349846414388,1250.0,11.67684
0.0017436663571823974,1250.0,14.75536
0.002422907454757296,1250.0,28.62382
0.0028223635963276197,1250.0,39.6499
0.0038682129825680506,1250.0,86.74745
0.004312931687815152,1250.0,130.00576
0.005707676816687694,1250.0,305.04897
0.006954917214186209,1250.0,602.20641
0.0003696920556727914,1250.0,1.34869
0.0006322550649405519,1250.0,2.50434
0.001108687510432749,1250.0,5.62477
0.0019908933598665425,1250.0,15.51652
0.0038489075816755067,1250.0,76.24665
0.005435916663463368,1250.0,252.19723
0.006954917214186209,1250.0,561.5042
0.00037528297622830555,1250.0,1.08614
0.00042635308872143783,1250.0,1.29097
0.00048437441981977344,1250.0,1.46876
0.0005727651216621069,1250.0,1.80792
0.0006638636767649458,1250.0,2.27957
0.0008048950459915046,1250.0,2.82443
0.0009190135395183577,1250.0,3.35708
0.0011410479497506478,1250.0,4.6911
0.0014096542503539125,1250.0,6.68554
0.0018035640713047769,1250.0,10.81643
0.0022731695408707824,1250.0,16.93499
0.0026879808032830308,1250.0,27.16023
0.0033373941007660323,1250.0,47.12738
0.0038489075816755067,1250.0,67.60579
0.004102445475311488,1250.0,85.4296
0.005074513824477443,1250.0,174.27321
0.006300508723865005,1250.0,362.57739
0.0077448139388242325,1250.0,765.98301
0.0004221097233767399,1250.0,1.11502
0.0004892453699789649,1250.0,1.31375
0.0005642306053269374,1250.0,1.57523
0.0006539720480898054,1250.0,1.88462
0.0008622187066615452,1250.0,2.79983
0.0010598696947104135,1250.0,3.78615
0.0013358349847628166,1250.0,5.52722
0.0016502932053407337,1250.0,8.13982
0.0020799912892663255,1250.0,13.19812
0.0025857450070052184,1250.0,22.11341
0.0032427466650370718,1250.0,38.03616
0.0038682129825680506,1250.0,62.62421
0.005823060036972689,1250.0,256.64831
0.00929661137109637,1250.0,1593.63635
0.0005537432489344859,1250.0,1.40591
0.0008579148128322008,1250.0,2.59352
0.001152522876155754,1250.0,4.15947
0.001423830658600088,1250.0,5.82507
0.0018035640713047769,1250.0,9.67489
0.0022281267911645635,1250.0,15.51652
0.0028082763879535544,1250.0,27.63958
0.0037210873506504957,1250.0,63.72948
0.0055945809359803965,1250.0,250.00073
0.007487612479012272,1250.0,715.77501
