Bg-Train-True,Bg-Train-Pred,Nw-min,Nw-max,Num-Nw
0.8698423,0.8720136,8390.09375,71124.2890625,0.0
0.5629691,0.5654691,8390.09375,71124.2890625,0.0
0.92465144,0.91389275,8390.09375,71124.2890625,0.0
0.9360564,0.94370914,8390.09375,71124.2890625,0.0
1.4914229,1.4616979,8390.09375,71124.2890625,0.0
1.3934823,1.3766599,8390.09375,71124.2890625,0.0
1.0672985,1.0787961,8390.09375,71124.2890625,0.0
1.1958094,1.1817889,8390.09375,71124.2890625,0.0
1.160166,1.1504109,8390.09375,71124.2890625,0.0
0.9844751,0.9833605,8390.09375,71124.2890625,0.0
1.1681978,1.1516159,8390.09375,71124.2890625,0.0
0.71637547,0.72689563,8390.09375,71124.2890625,0.0
0.89562535,0.90655607,8390.09375,71124.2890625,0.0
0.49506506,0.53780526,8390.09375,71124.2890625,0.0
0.5447908,0.54207647,8390.09375,71124.2890625,0.0
0.686955,0.67973506,8390.09375,71124.2890625,0.0
0.66810703,0.66815996,8390.09375,71124.2890625,0.0
1.3810304,1.350546,8390.09375,71124.2890625,0.0
1.2359927,1.2405868,8390.09375,71124.2890625,0.0
1.0984108,1.0919938,8390.09375,71124.2890625,0.0
1.2242724,1.188549,8390.09375,71124.2890625,0.0
1.2892023,1.1951452,8390.09375,71124.2890625,0.0
0.57845414,0.57959354,8390.09375,71124.2890625,0.0
1.1417935,1.1516745,8390.09375,71124.2890625,0.0
0.96166766,0.95881677,8390.09375,71124.2890625,0.0
0.508192,0.51816225,8390.09375,71124.2890625,0.0
0.53036326,0.53498876,8390.09375,71124.2890625,0.0
0.75938225,0.77095866,8390.09375,71124.2890625,0.0
1.3417207,1.2324424,8390.09375,71124.2890625,0.0
0.6339613,0.6330376,8390.09375,71124.2890625,0.0
0.49034745,0.5010868,8390.09375,71124.2890625,0.0
0.47545904,0.4939893,8390.09375,71124.2890625,0.0
1.2111403,1.2165439,8390.09375,71124.2890625,0.0
0.39984128,0.41236916,8390.09375,71124.2890625,0.0
0.8114764,0.8105,8390.09375,71124.2890625,0.0
0.7208545,0.7245097,8390.09375,71124.2890625,0.0
0.41596007,0.4300494,8390.09375,71124.2890625,0.0
0.89854485,0.9045079,8390.09375,71124.2890625,0.0
0.9046666,0.90937406,8390.09375,71124.2890625,0.0
0.6635258,0.6555275,8390.09375,71124.2890625,0.0
0.98382986,0.98013186,8390.09375,71124.2890625,0.0
0.54989195,0.55489254,8390.09375,71124.2890625,0.0
0.46497324,0.47393847,8390.09375,71124.2890625,0.0
0.40615848,0.4059204,8390.09375,71124.2890625,0.0
0.8395456,0.8504466,8390.09375,71124.2890625,0.0
1.0494354,1.0374548,8390.09375,71124.2890625,0.0
1.2357098,1.2237976,8390.09375,71124.2890625,0.0
1.0097917,1.0236007,8390.09375,71124.2890625,0.0
0.41925988,0.44010302,8390.09375,71124.2890625,0.0
1.4548155,1.4240451,8390.09375,71124.2890625,0.0
1.2058687,1.2005683,8390.09375,71124.2890625,0.0
0.4867342,0.47831553,8390.09375,71124.2890625,0.0
0.69714046,0.69489694,8390.09375,71124.2890625,0.0
1.2708286,1.2360119,8390.09375,71124.2890625,0.0
0.8482373,0.8510642,8390.09375,71124.2890625,0.0
1.1502461,1.1281267,8390.09375,71124.2890625,0.0
0.59835565,0.5613076,8390.09375,71124.2890625,0.0
1.3473682,1.2491925,8390.09375,71124.2890625,0.0
0.98946667,0.9781761,8390.09375,71124.2890625,0.0
0.41896933,0.43682927,8390.09375,71124.2890625,0.0
1.4663101,1.4365934,8390.09375,71124.2890625,0.0
0.41893828,0.4304471,8390.09375,71124.2890625,0.0
1.0818646,1.09504,8390.09375,71124.2890625,0.0
0.99887896,1.0085812,8390.09375,71124.2890625,0.0
0.99555486,0.9988862,17107.39453125,66851.6484375,0.0
1.0385382,1.0669088,17107.39453125,66851.6484375,0.0
0.7107172,0.6963289,17107.39453125,66851.6484375,0.0
1.026738,1.0355337,17107.39453125,66851.6484375,0.0
1.0335107,1.0409594,17107.39453125,66851.6484375,0.0
0.5503739,0.57714695,17107.39453125,66851.6484375,0.0
0.49637532,0.5231261,17107.39453125,66851.6484375,0.0
