device = device(type='cuda', index=2)
Epoch	train_loss	Bth Train Error	test_loss	Bth Test Error	Bth Exp Data Error	time
101	0.001708	0.0266	0.001734	0.0271	19.2057	242.46
102	0.001760	0.0264	0.001595	0.0314	9.8022	242.13
103	0.001658	0.0260	0.001741	0.0244	8.0426	242.50
104	0.001691	0.0262	0.001668	0.0231	12.1479	242.41
105	0.001771	0.0264	0.001767	0.0246	13.2850	242.08
106	0.001726	0.0263	0.001748	0.0234	12.7422	242.66
107	0.001721	0.0262	0.001653	0.0320	12.5299	242.39
108	0.001731	0.0262	0.003220	0.0315	15.5867	242.69
109	0.001761	0.0266	0.001617	0.0225	11.3562	242.64
110	0.001680	0.0260	0.001673	0.0270	11.3309	242.23
111	0.001731	0.0260	0.001603	0.0228	9.9089	242.21
112	0.001806	0.0267	0.001561	0.0222	12.3745	242.58
113	0.001810	0.0265	0.001800	0.0326	9.2759	242.69
114	0.001673	0.0263	0.001858	0.0276	13.0260	242.35
115	0.001717	0.0260	0.001548	0.0244	15.5377	243.09
116	0.001710	0.0262	0.001419	0.0211	7.3563	242.39
117	0.001714	0.0262	0.001676	0.0249	11.2528	242.03
118	0.001701	0.0258	0.001630	0.0225	10.5597	242.37
119	0.001691	0.0258	0.001612	0.0232	12.7940	242.41
120	0.001711	0.0262	0.001828	0.0258	15.4730	242.30
121	0.001752	0.0263	0.002002	0.0377	17.7099	242.66
122	0.001670	0.0260	0.001728	0.0229	10.8426	242.62
123	0.001815	0.0267	0.001629	0.0233	11.6779	242.64
124	0.001716	0.0260	0.001623	0.0281	11.9352	242.15
125	0.001626	0.0251	0.001539	0.0265	15.4093	242.47
126	0.001704	0.0259	0.001629	0.0236	14.4860	242.29
127	0.001672	0.0256	0.001618	0.0247	14.2166	242.44
128	0.001689	0.0260	0.001710	0.0267	13.7478	242.17
129	0.001749	0.0254	0.001680	0.0244	12.3943	242.47
130	0.001673	0.0259	0.001496	0.0223	19.3681	242.59
131	0.001628	0.0250	0.001803	0.0245	13.1247	242.54
132	0.001635	0.0256	0.001476	0.0246	13.6777	242.40
133	0.001646	0.0255	0.001648	0.0235	13.3097	242.29
134	0.001717	0.0259	0.001553	0.0234	13.2103	242.26
135	0.001773	0.0260	0.001719	0.0275	15.5627	242.30
136	0.001638	0.0251	0.001509	0.0254	14.4146	242.48
137	0.001625	0.0253	0.001565	0.0216	12.2833	242.41
138	0.001667	0.0255	0.002399	0.0270	16.5063	242.31
139	0.001694	0.0256	0.001526	0.0239	11.1366	242.47
140	0.001608	0.0251	0.001586	0.0259	20.1684	242.44
141	0.001648	0.0253	0.001563	0.0217	15.5397	242.37
142	0.001647	0.0251	0.001954	0.0293	15.0310	242.59
143	0.001660	0.0253	0.001473	0.0261	14.2784	242.49
144	0.001588	0.0250	0.001452	0.0220	11.8619	242.22
145	0.001678	0.0253	0.002022	0.0247	11.2476	242.68
146	0.001628	0.0254	0.001652	0.0257	17.4120	242.37
147	0.001618	0.0251	0.001585	0.0248	13.6925	242.16
148	0.001689	0.0254	0.001422	0.0219	16.1871	242.58
149	0.001619	0.0252	0.001464	0.0222	17.4536	242.55
150	0.001675	0.0252	0.001971	0.0347	16.9750	242.67
151	0.001643	0.0255	0.001366	0.0212	14.3633	242.30
152	0.001684	0.0254	0.001624	0.0241	14.7091	242.25
153	0.001634	0.0249	0.001392	0.0232	13.6303	241.98
154	0.001611	0.0250	0.001573	0.0211	14.9038	242.26
155	0.001587	0.0248	0.001672	0.0285	15.2707	242.20
156	0.001629	0.0252	0.001640	0.0237	13.9513	242.26
157	0.001572	0.0247	0.001645	0.0300	12.0205	242.23
158	0.001597	0.0250	0.001614	0.0224	9.6449	242.48
159	0.001708	0.0254	0.001925	0.0278	15.2409	242.29
160	0.001597	0.0246	0.001565	0.0237	16.6262	242.04
161	0.001619	0.0249	0.001692	0.0276	17.0821	242.04
162	0.001593	0.0249	0.001638	0.0265	13.1652	242.64
163	0.001792	0.0253	0.001580	0.0229	19.2907	242.06
164	0.001573	0.0248	0.001577	0.0253	16.4606	242.42
165	0.001614	0.0247	0.001547	0.0235	17.1700	241.60
166	0.001577	0.0245	0.001406	0.0222	15.2984	242.61
167	0.001646	0.0246	0.001735	0.0315	13.3272	242.28
168	0.001625	0.0249	0.001659	0.0232	22.5584	242.08
169	0.001629	0.0249	0.001771	0.0233	16.6200	242.00
170	0.001595	0.0250	0.001663	0.0287	15.5475	242.43
171	0.001593	0.0243	0.001643	0.0272	13.7919	242.35
172	0.001625	0.0249	0.001435	0.0214	15.2973	242.21
173	0.001604	0.0249	0.001496	0.0248	16.6801	242.20
174	0.001597	0.0247	0.001591	0.0241	10.9266	242.29
175	0.001564	0.0245	0.001479	0.0233	15.5361	241.91
176	0.001566	0.0245	0.001693	0.0269	17.4142	241.90
177	0.001640	0.0249	0.001560	0.0214	15.3566	242.09
178	0.001618	0.0251	0.001990	0.0299	14.6858	242.34
179	0.001547	0.0240	0.001648	0.0244	11.0409	241.95
180	0.001628	0.0254	0.001660	0.0275	12.5615	242.65
181	0.001604	0.0248	0.001724	0.0258	18.3149	242.23
182	0.001562	0.0246	0.001453	0.0206	18.9223	242.32
183	0.001563	0.0246	0.001765	0.0240	16.0939	242.13
184	0.001620	0.0247	0.001612	0.0243	11.9089	242.43
185	0.001590	0.0245	0.001636	0.0232	16.1873	242.27
186	0.001588	0.0242	0.001513	0.0231	14.1564	242.12
187	0.001531	0.0243	0.001556	0.0235	16.0456	242.15
188	0.001583	0.0249	0.001784	0.0237	17.8719	242.46
189	0.001668	0.0247	0.001549	0.0260	8.3046	242.13
190	0.001575	0.0241	0.001741	0.0235	18.7591	241.93
191	0.001591	0.0246	0.001716	0.0229	12.6289	242.22
192	0.001576	0.0241	0.001612	0.0218	19.0002	241.89
193	0.001567	0.0245	0.001451	0.0205	13.7186	241.97
194	0.001512	0.0238	0.001391	0.0252	14.5197	242.12
195	0.001538	0.0240	0.001341	0.0203	16.3632	242.09
196	0.001589	0.0244	0.001541	0.0220	17.2366	242.26
197	0.001480	0.0237	0.001514	0.0303	14.3751	242.10
198	0.001488	0.0237	0.001494	0.0270	12.7444	242.07
199	0.001544	0.0241	0.001433	0.0209	16.9547	242.16
200	0.001577	0.0243	0.001347	0.0203	12.3911	242.23
201	0.001577	0.0246	0.001478	0.0224	18.2744	242.35
202	0.001533	0.0243	0.001495	0.0287	14.9710	242.24
203	0.001561	0.0239	0.001499	0.0249	13.4020	242.33
204	0.001503	0.0236	0.001330	0.0223	16.1110	241.88
205	0.001518	0.0238	0.001530	0.0231	12.1069	242.07
206	0.001453	0.0234	0.001392	0.0208	14.0587	242.19
207	0.001561	0.0238	0.001362	0.0209	11.0868	242.16
208	0.001578	0.0243	0.001892	0.0274	17.5176	242.18
209	0.001561	0.0238	0.001498	0.0264	15.4315	242.45
210	0.001620	0.0242	0.001452	0.0203	15.0753	242.27
211	0.001544	0.0237	0.001667	0.0231	12.9427	242.25
212	0.001586	0.0241	0.001398	0.0221	13.8363	242.43
213	0.001485	0.0237	0.001548	0.0284	16.5209	242.26
214	0.001601	0.0241	0.001405	0.0226	11.6039	242.12
215	0.001578	0.0238	0.001485	0.0206	14.6668	241.94
216	0.001578	0.0241	0.001438	0.0259	16.9468	242.36
217	0.001578	0.0239	0.001514	0.0264	14.6132	241.93
218	0.001532	0.0238	0.001728	0.0267	18.3358	242.00
219	0.001510	0.0237	0.001406	0.0224	13.2376	242.12
220	0.001575	0.0241	0.001423	0.0219	12.7903	242.24
221	0.001560	0.0240	0.001578	0.0287	12.1104	242.17
