Bth-Train-True,Bth-Train-Pred,Nw-min,Nw-max,Num-Nw
0.4346431,0.4336061,11087.740234375,83039.078125,5.0
0.25044364,0.24553761,367.30126953125,28082.158203125,8.0
0.5923553,0.64720047,6967.056640625,24809.546875,3.0
0.38115883,0.34636778,3018.70458984375,3018.70458984375,1.0
0.32538384,0.32203394,1728.4951171875,49043.66796875,4.0
0.46777022,0.46647334,11436.57421875,88346.296875,12.0
0.44947958,0.4481783,7412.3369140625,91125.78125,11.0
0.36839628,0.3605743,959.539306640625,71124.2890625,9.0
0.48572448,0.4769542,17107.39453125,17107.39453125,1.0
0.3348205,0.3303265,1307.952392578125,3113.677001953125,3.0
0.48960355,0.46223307,55512.98828125,85651.5859375,4.0
0.309455,0.30722877,8390.09375,96949.8359375,4.0
0.7404958,0.73803115,5608.916015625,59060.953125,9.0
0.81528676,0.7511399,8926.32421875,66851.6484375,4.0
0.3004329,0.29421768,1728.4951171875,1728.4951171875,1.0
0.4959431,0.49451786,15589.24609375,91125.78125,9.0
0.2515989,0.24592584,442.3233947753906,34881.9609375,8.0
0.7652203,0.7355745,25590.0859375,91125.78125,11.0
0.255345,0.24125265,277.9368896484375,25590.0859375,9.0
0.25096068,0.24972287,772.4891357421875,772.4891357421875,1.0
0.30297375,0.30085933,1052.9833984375,50586.64453125,7.0
0.35801005,0.3513238,1956.4998779296875,52178.1640625,7.0
0.30946472,0.3047566,66851.6484375,91125.78125,3.0
0.29133803,0.2900675,4114.81005859375,83039.078125,9.0
0.2363345,0.2271578,4515.52783203125,19973.236328125,2.0
0.56146014,0.55940306,26395.181640625,26395.181640625,1.0
0.37141487,0.3715675,3018.70458984375,34881.9609375,7.0
0.27948833,0.27616164,1191.8818359375,73361.9453125,10.0
0.3440256,0.34152508,2585.568603515625,57259.49609375,6.0
0.38541418,0.3826545,4515.52783203125,33818.00390625,8.0
0.40322912,0.40956664,7886.07666015625,46097.47265625,3.0
0.26161405,0.25984532,50586.64453125,93992.7109375,7.0
0.46981275,0.47287574,9496.826171875,83039.078125,6.0
0.41989696,0.4196385,4955.26953125,60919.08203125,6.0
0.62046987,0.6182592,30816.919921875,91125.78125,3.0
0.34930706,0.34877428,8926.32421875,24052.81640625,4.0
0.3441408,0.33822358,1480.4835205078125,96949.8359375,7.0
0.27500713,0.2722869,2750.818115234375,55512.98828125,7.0
0.3343135,0.3265811,1527.0614013671875,59060.953125,6.0
0.26489496,0.2659071,55512.98828125,75670.0078125,2.0
0.43889374,0.43861306,11796.3837890625,24052.81640625,3.0
0.4077933,0.41141894,40725.41015625,40725.41015625,1.0
0.27371007,0.26390606,2214.58056640625,22607.892578125,2.0
0.3057369,0.305108,1052.9833984375,28082.158203125,5.0
0.32149535,0.31500658,1020.86572265625,96949.8359375,8.0
0.5525695,0.5549481,32786.5,68954.8828125,6.0
0.35985765,0.36008942,2284.25390625,28082.158203125,7.0
0.48957855,0.48616084,17645.61328125,96949.8359375,12.0
0.34947088,0.34878805,1728.4951171875,44691.42578125,10.0
0.41142473,0.4127884,59060.953125,96949.8359375,7.0
0.37612796,0.3705883,6348.78466796875,96949.8359375,7.0
0.30160713,0.30462208,3989.301513671875,66851.6484375,6.0
0.34781736,0.34855196,53819.75390625,85651.5859375,7.0
0.7943597,0.7271837,22607.892578125,80506.25,4.0
