Bth-Train-True,Bth-Train-Pred,Nw-min,Nw-max,Num-Nw
0.48785898,0.48262715,8654.056640625,75670.0078125,4.0
0.32563668,0.32262576,1155.5274658203125,37111.34765625,3.0
0.5015813,0.47114146,1728.4951171875,33818.00390625,9.0
0.4427091,0.4373298,7886.07666015625,93992.7109375,10.0
0.4273346,0.42644143,12550.3173828125,91125.78125,7.0
0.7158176,0.73140156,23319.166015625,59060.953125,3.0
0.25676084,0.25075254,549.4274291992188,66851.6484375,9.0
0.30372334,0.31249163,14205.822265625,64812.5625,9.0
0.48413587,0.4860459,11796.3837890625,73361.9453125,9.0
0.2706372,0.2644095,415.7517395019531,88346.296875,10.0
0.48486787,0.47610697,75670.0078125,85651.5859375,2.0
0.4806382,0.48365515,14205.822265625,52178.1640625,3.0
0.3161591,0.3140232,261.24041748046875,66851.6484375,5.0
0.36907476,0.3662844,2284.25390625,91125.78125,5.0
0.25466472,0.26762992,19973.236328125,62835.67578125,3.0
0.33311945,0.32341853,621.9020385742188,34881.9609375,7.0
0.46601573,0.46443224,9795.607421875,75670.0078125,6.0
0.40089348,0.4220705,1349.1021728515625,91125.78125,6.0
0.29086196,0.28311703,305.0035705566406,34881.9609375,9.0
0.4152888,0.41747847,49043.66796875,49043.66796875,1.0
0.69897556,0.6535527,12550.3173828125,93992.7109375,8.0
0.30613396,0.30261144,748.9269409179688,42006.68359375,8.0
0.26128632,0.26228532,1480.4835205078125,75670.0078125,9.0
0.46964967,0.4705536,73361.9453125,73361.9453125,1.0
0.53015554,0.5395521,19364.01953125,85651.5859375,9.0
0.3286723,0.3174439,621.9020385742188,4804.12548828125,5.0
0.2716742,0.27296853,367.30126953125,64812.5625,11.0
0.43448716,0.4340827,6548.52490234375,21249.771484375,5.0
0.53786314,0.555923,2506.70458984375,2506.70458984375,1.0
0.30185843,0.3000517,682.4655151367188,91125.78125,8.0
0.39189786,0.38876858,3211.636962890625,91125.78125,9.0
0.44907647,0.45491758,7645.53857421875,59060.953125,5.0
0.4614765,0.4603791,8926.32421875,73361.9453125,9.0
0.3514018,0.3558743,3113.677001953125,93992.7109375,8.0
0.28459245,0.28241503,621.9020385742188,88346.296875,10.0
0.4160971,0.42118326,80506.25,80506.25,1.0
0.41346052,0.4117484,4377.796875,91125.78125,8.0
0.3002041,0.29768136,1268.0577392578125,57259.49609375,5.0
0.316848,0.3159988,1391.546630859375,96949.8359375,7.0
0.3389687,0.33440426,2147.0322265625,2147.0322265625,1.0
0.5103451,0.50870717,1349.1021728515625,44691.42578125,7.0
0.44465512,0.44542676,7645.53857421875,91125.78125,8.0
0.4934189,0.49134824,24809.546875,71124.2890625,6.0
0.35941738,0.36130273,9795.607421875,75670.0078125,9.0
0.49576038,0.49244168,24809.546875,42006.68359375,5.0
0.3159465,0.31263396,66851.6484375,66851.6484375,1.0
0.39598596,0.39799207,49043.66796875,64812.5625,4.0
0.3794309,0.37885404,3211.636962890625,17645.61328125,4.0
0.28461897,0.2869335,8134.18212890625,50586.64453125,4.0
0.44573498,0.44702363,53819.75390625,53819.75390625,1.0
0.5957233,0.58604974,2585.568603515625,88346.296875,7.0
0.79325473,0.7297895,8926.32421875,96949.8359375,4.0
0.3457657,0.33777526,1575.1046142578125,83039.078125,7.0
0.29777968,0.30198067,5111.16845703125,68954.8828125,4.0
0.31832132,0.3224109,47547.7578125,96949.8359375,8.0
0.3436783,0.33728316,1435.326416015625,20601.619140625,5.0
0.42767656,0.43075156,7886.07666015625,93992.7109375,10.0
0.51101637,0.5189445,40725.41015625,40725.41015625,1.0
0.8092867,0.71893734,15589.24609375,15589.24609375,1.0
0.54741025,0.5401139,1527.0614013671875,3867.621337890625,2.0
0.51092327,0.5397082,12945.166015625,91125.78125,7.0
0.26869357,0.26783597,12550.3173828125,83039.078125,2.0
0.27048254,0.27017432,703.936767578125,52178.1640625,7.0
0.75915504,0.69563085,12550.3173828125,96949.8359375,8.0
0.42198274,0.4219163,9207.1572265625,53819.75390625,7.0
0.48677456,0.56924105,1838.96728515625,73361.9453125,11.0
0.47430432,0.4827873,26395.181640625,80506.25,5.0
0.28158593,0.26815745,4114.81005859375,5437.8349609375,2.0
0.29293567,0.27994764,726.0834350585938,18200.767578125,7.0
0.48736313,0.48493946,21918.31640625,80506.25,9.0
0.30665454,0.2972697,901.8970336914062,88346.296875,7.0
0.51753384,0.56577075,57259.49609375,75670.0078125,2.0
0.48107332,0.47833613,55512.98828125,91125.78125,5.0
0.25034288,0.23610708,52178.1640625,96949.8359375,11.0
0.42995864,0.4301353,12167.5126953125,96949.8359375,6.0
0.78062785,0.764711,28965.658203125,96949.8359375,10.0
0.40593266,0.40715238,5111.16845703125,93992.7109375,8.0
0.28074315,0.27281657,959.539306640625,30816.919921875,6.0
0.37645864,0.35922486,2750.818115234375,66851.6484375,10.0
0.3936392,0.39109087,7186.24853515625,96949.8359375,6.0
0.23072521,0.2251349,3524.400146484375,91125.78125,2.0
0.23181334,0.24750392,50586.64453125,96949.8359375,9.0
