Bg-Train-True,Bg-Train-Pred,Nw-min,Nw-max,Num-Nw
0.9098891,0.9049232,9207.1572265625,33818.00390625,2.0
1.3349724,1.3385241,73361.9453125,83039.078125,4.0
1.0958183,1.0951412,12167.5126953125,44691.42578125,8.0
0.91705316,0.9157933,5608.916015625,60919.08203125,8.0
0.78790677,0.78866124,3312.67919921875,60919.08203125,11.0
1.0049369,1.0036936,8390.09375,52178.1640625,7.0
0.7633121,0.765947,3312.67919921875,96949.8359375,9.0
0.53382945,0.53288627,1675.773193359375,35979.390625,2.0
1.2496972,1.2522368,28965.658203125,80506.25,8.0
1.5240927,1.5293384,52178.1640625,96949.8359375,9.0
0.38749832,0.38774905,428.8318176269531,28082.158203125,11.0
0.51745087,0.52016896,4244.26708984375,49043.66796875,4.0
1.4334462,1.4321426,53819.75390625,71124.2890625,2.0
0.68415606,0.68494606,3416.900146484375,96949.8359375,8.0
1.1392848,1.1412531,13772.521484375,93992.7109375,12.0
1.1083622,1.107383,12550.3173828125,55512.98828125,10.0
0.7766421,0.7822484,3635.281982421875,96949.8359375,11.0
0.3960703,0.3978002,378.8570251464844,18773.384765625,7.0
1.2295648,1.233403,60919.08203125,91125.78125,3.0
0.61358356,0.61372316,1155.5274658203125,49043.66796875,7.0
0.49125397,0.4915334,1575.1046142578125,88346.296875,11.0
0.7890909,0.78892314,4657.591796875,96949.8359375,5.0
1.13031,1.1308725,33818.00390625,38278.91796875,2.0
0.64539695,0.6439953,4657.591796875,50586.64453125,3.0
0.366365,0.37137586,25590.0859375,25590.0859375,1.0
0.9751426,0.97866654,11436.57421875,53819.75390625,7.0
0.741731,0.743748,4114.81005859375,62835.67578125,11.0
0.53264254,0.5333241,989.7276611328125,46097.47265625,8.0
0.5856831,0.58949655,1229.3798828125,85651.5859375,8.0
1.4092532,1.415676,59060.953125,93992.7109375,8.0
1.2182306,1.2278311,24052.81640625,88346.296875,9.0
0.58677775,0.5876865,1120.281982421875,59060.953125,11.0
0.8594627,0.8564714,7645.53857421875,78050.6796875,8.0
0.982009,0.98623246,8390.09375,68954.8828125,8.0
1.2475226,1.2534862,27225.607421875,96949.8359375,5.0
1.1086262,1.107971,42006.68359375,75670.0078125,5.0
1.1494741,1.1457527,15589.24609375,68954.8828125,9.0
0.39902046,0.3989157,230.7962188720703,50586.64453125,8.0
1.3662106,1.3705496,27225.607421875,78050.6796875,8.0
0.8255662,0.8310566,5271.97216796875,19364.01953125,2.0
1.0624803,1.065445,14652.7548828125,73361.9453125,10.0
0.6977601,0.69651556,1896.823486328125,64812.5625,10.0
0.75632876,0.76699734,5437.8349609375,19364.01953125,2.0
0.8099921,0.81275743,4657.591796875,88346.296875,9.0
0.5415519,0.54255164,1435.326416015625,42006.68359375,8.0
0.67086357,0.66337836,17107.39453125,93992.7109375,4.0
0.68279576,0.68370533,4955.26953125,73361.9453125,3.0
0.7121318,0.7245933,6967.056640625,6967.056640625,1.0
0.39911962,0.4041564,4955.26953125,4955.26953125,1.0
0.594394,0.5917039,6348.78466796875,85651.5859375,10.0
0.8320912,0.8331448,20601.619140625,68954.8828125,6.0
0.55875105,0.55529433,821.8606567382812,18200.767578125,7.0
1.0404317,1.0414097,11436.57421875,96949.8359375,5.0
0.53509367,0.53917617,796.7926025390625,796.7926025390625,1.0
0.92151344,0.92526394,18200.767578125,46097.47265625,4.0
0.72697175,0.73109853,5785.37939453125,60919.08203125,7.0
1.2255529,1.224879,22607.892578125,88346.296875,4.0
0.4949695,0.49289656,989.7276611328125,68954.8828125,12.0
0.7875972,0.79243726,3635.281982421875,49043.66796875,8.0
1.4133269,1.424548,30816.919921875,57259.49609375,5.0
0.933107,0.9396228,7645.53857421875,93992.7109375,5.0
0.95142555,0.95125836,6548.52490234375,47547.7578125,7.0
