Bg-Train-True,Bg-Train-Pred,Nw-min,Nw-max,Num-Nw
0.66518414,0.6622681,1728.4951171875,38278.91796875,8.0
1.1800709,1.1732674,17107.39453125,71124.2890625,9.0
0.63429546,0.6332981,1527.0614013671875,78050.6796875,4.0
0.5950908,0.59267056,1086.111572265625,47547.7578125,8.0
0.60462844,0.6024871,1155.5274658203125,59060.953125,11.0
1.3082429,1.3104906,25590.0859375,85651.5859375,11.0
0.7541288,0.7492059,5111.16845703125,55512.98828125,10.0
0.7970729,0.79632306,4515.52783203125,50586.64453125,10.0
0.57312423,0.5715301,2585.568603515625,33818.00390625,6.0
0.6161418,0.61553395,3749.652587890625,62835.67578125,10.0
0.70585656,0.7064981,15589.24609375,78050.6796875,6.0
0.43428072,0.43434453,1838.96728515625,96949.8359375,8.0
0.9199425,0.91502786,5785.37939453125,80506.25,9.0
0.99235016,0.9943553,39483.21875,60919.08203125,3.0
0.8833029,0.8819793,5785.37939453125,49043.66796875,4.0
0.52977884,0.5267088,20601.619140625,75670.0078125,4.0
1.1087894,1.1075456,12550.3173828125,50586.64453125,10.0
0.7690717,0.76454103,14652.7548828125,53819.75390625,2.0
1.2349279,1.2356131,18200.767578125,93992.7109375,10.0
1.2377337,1.2374609,20601.619140625,85651.5859375,12.0
0.6866774,0.68240243,2081.544189453125,64812.5625,9.0
0.924507,0.9200938,6348.78466796875,42006.68359375,4.0
1.0135868,1.0129385,59060.953125,93992.7109375,4.0
1.1571817,1.1570615,27225.607421875,93992.7109375,3.0
1.0594792,1.0538368,17645.61328125,44691.42578125,3.0
0.7282511,0.723301,5111.16845703125,75670.0078125,7.0
0.43948746,0.43899074,661.6492309570312,96949.8359375,8.0
0.98532516,0.9807786,13352.4375,78050.6796875,6.0
0.8822187,0.8842208,7886.07666015625,96949.8359375,10.0
0.44154882,0.44181058,442.3233947753906,39483.21875,12.0
0.37938762,0.38058874,1728.4951171875,2081.544189453125,2.0
0.74136865,0.7392727,3749.652587890625,85651.5859375,7.0
1.2517059,1.2555776,18773.384765625,93992.7109375,9.0
0.6342671,0.630823,1527.0614013671875,39483.21875,8.0
1.0374736,1.0408826,18773.384765625,78050.6796875,5.0
1.1697996,1.1644288,17645.61328125,60919.08203125,5.0
1.0673609,1.0651817,18773.384765625,85651.5859375,8.0
0.94730705,0.94503707,6548.52490234375,68954.8828125,8.0
1.1441693,1.1419475,47547.7578125,96949.8359375,8.0
0.77634734,0.7707051,8654.056640625,15113.7490234375,2.0
0.733342,0.73126,2585.568603515625,50586.64453125,7.0
0.84915054,0.84234536,7186.24853515625,96949.8359375,9.0
0.5186027,0.5171735,1307.952392578125,46097.47265625,7.0
0.567801,0.56623155,1624.659423828125,33818.00390625,7.0
1.4730215,1.4672363,53819.75390625,96949.8359375,9.0
0.7691802,0.76934665,4377.796875,50586.64453125,10.0
1.273976,1.2723185,62835.67578125,93992.7109375,4.0
1.4758197,1.4655257,42006.68359375,91125.78125,5.0
1.3097999,1.3061202,24809.546875,88346.296875,8.0
1.2389014,1.2343227,18200.767578125,21918.31640625,2.0
0.6874636,0.6801785,1782.875732421875,33818.00390625,7.0
0.6609659,0.6578715,11087.740234375,24052.81640625,2.0
1.10231,1.1007447,11796.3837890625,85651.5859375,9.0
1.422851,1.4023945,42006.68359375,64812.5625,2.0
0.97271824,0.9811063,53819.75390625,57259.49609375,2.0
1.54643,1.5383532,75670.0078125,93992.7109375,3.0
0.38016722,0.37583065,2214.58056640625,43328.265625,4.0
0.6479955,0.65066344,8926.32421875,59060.953125,8.0
1.4032006,1.3954868,44691.42578125,80506.25,5.0
0.48706466,0.4811719,5111.16845703125,66851.6484375,5.0
1.163242,1.1591,14205.822265625,75670.0078125,12.0
0.61293566,0.6129184,1624.659423828125,50586.64453125,11.0
0.9800572,0.98092985,8654.056640625,50586.64453125,3.0
0.95917255,0.95804185,7886.07666015625,78050.6796875,8.0
1.067836,1.0672927,12167.5126953125,46097.47265625,5.0
1.1976141,1.1968331,16079.703125,47547.7578125,8.0
0.59509623,0.5952039,1052.9833984375,85651.5859375,7.0
1.466801,1.4582391,52178.1640625,85651.5859375,5.0
0.6188551,0.622297,1307.952392578125,66851.6484375,4.0
1.0883737,1.087667,25590.0859375,75670.0078125,2.0
0.5756821,0.57332945,2147.0322265625,13352.4375,3.0
1.3471003,1.3568227,38278.91796875,93992.7109375,4.0
1.1763353,1.181476,21918.31640625,55512.98828125,7.0
0.8364687,0.8340908,4657.591796875,60919.08203125,7.0
0.6250067,0.6254735,1575.1046142578125,75670.0078125,10.0
0.86674815,0.8649811,12945.166015625,96949.8359375,5.0
1.2657351,1.2636297,57259.49609375,88346.296875,6.0
0.39193165,0.39174917,516.4216918945312,50586.64453125,5.0
0.69405794,0.69134957,2214.58056640625,50586.64453125,10.0
0.9280247,0.9283751,7886.07666015625,88346.296875,7.0
0.37431628,0.37341008,2926.62939453125,73361.9453125,3.0
1.1355898,1.1242416,60919.08203125,60919.08203125,1.0
1.0827507,1.0885594,14205.822265625,96949.8359375,7.0
0.9190906,0.9110295,20601.619140625,20601.619140625,1.0
1.0157802,1.0219071,17107.39453125,55512.98828125,5.0
1.1259043,1.1256804,13352.4375,93992.7109375,10.0
0.9093779,0.9105207,15589.24609375,18200.767578125,2.0
1.3804564,1.3724831,29876.955078125,91125.78125,5.0
0.52307546,0.52555346,621.9020385742188,88346.296875,9.0
0.64173937,0.64083064,2430.245849609375,93992.7109375,12.0
1.384888,1.3782706,49043.66796875,71124.2890625,4.0
0.56613535,0.56546575,2356.119384765625,73361.9453125,12.0
0.56498635,0.5630385,847.7174682617188,78050.6796875,9.0
1.2450616,1.2443037,19973.236328125,75670.0078125,10.0
0.9393209,0.94033194,18200.767578125,18200.767578125,1.0
1.4531612,1.4432514,34881.9609375,91125.78125,8.0
0.6947603,0.69821775,2926.62939453125,73361.9453125,8.0
0.65362245,0.6528176,7412.3369140625,66851.6484375,7.0
0.4305768,0.42949367,390.7763366699219,44691.42578125,6.0
0.86377925,0.8636088,15113.7490234375,91125.78125,10.0
0.7069291,0.7045926,3524.400146484375,7412.3369140625,2.0
1.1399932,1.1415706,15589.24609375,68954.8828125,9.0
0.66000116,0.663018,1624.659423828125,96949.8359375,6.0
0.58491033,0.5815456,7645.53857421875,13352.4375,2.0
0.9078731,0.9040948,35979.390625,44691.42578125,3.0
0.6300332,0.6330323,3113.677001953125,57259.49609375,5.0
0.85470027,0.8484403,13352.4375,60919.08203125,3.0
0.748464,0.7412778,5437.8349609375,5437.8349609375,1.0
0.4333713,0.43411434,796.7926025390625,16585.58984375,2.0
0.505897,0.5051803,602.9329833984375,3524.400146484375,3.0
1.1838441,1.1847217,17107.39453125,30816.919921875,2.0
0.60587376,0.6060753,1728.4951171875,85651.5859375,7.0
0.83937186,0.83309245,4955.26953125,33818.00390625,5.0
0.4937827,0.49408048,1728.4951171875,24809.546875,5.0
0.9465926,0.94967186,28965.658203125,60919.08203125,3.0
1.1812192,1.1791384,18200.767578125,93992.7109375,10.0
