device = device(type='cuda', index=0)
Epoch	train_loss	Bg Train Error	test_loss	Bg Test Error	Bg Exp Data Error	time
101	0.000037	0.0057	0.000034	0.0055	5.9022	354.96
102	0.000037	0.0057	0.000031	0.0053	5.5977	354.80
103	0.000036	0.0057	0.000034	0.0053	6.2163	354.38
104	0.000034	0.0056	0.000033	0.0056	5.7394	354.61
105	0.000033	0.0056	0.000032	0.0053	5.7458	354.83
106	0.000033	0.0055	0.000033	0.0054	5.6536	354.68
107	0.000033	0.0055	0.000038	0.0061	5.9816	354.67
108	0.000032	0.0054	0.000041	0.0063	5.5438	354.45
109	0.000032	0.0054	0.000034	0.0053	5.7352	354.41
110	0.000031	0.0053	0.000056	0.0069	5.2889	354.20
111	0.000031	0.0054	0.000024	0.0047	5.6268	354.50
112	0.000029	0.0052	0.000026	0.0053	4.9027	354.67
113	0.000029	0.0053	0.000028	0.0051	5.4152	354.41
114	0.000029	0.0052	0.000022	0.0046	5.0849	354.51
115	0.000027	0.0051	0.000025	0.0048	5.0442	354.41
116	0.000026	0.0050	0.000029	0.0053	5.3655	354.50
117	0.000027	0.0051	0.000023	0.0046	5.1307	354.38
118	0.000028	0.0051	0.000022	0.0046	4.7174	354.51
119	0.000026	0.0049	0.000026	0.0046	5.2243	354.83
120	0.000026	0.0050	0.000024	0.0048	4.9434	354.75
121	0.000025	0.0049	0.000025	0.0049	4.9600	354.49
122	0.000026	0.0049	0.000024	0.0052	4.7367	354.50
123	0.000024	0.0049	0.000030	0.0056	4.5425	354.27
124	0.000025	0.0049	0.000034	0.0059	4.4610	354.26
125	0.000024	0.0048	0.000019	0.0043	4.6238	354.93
126	0.000024	0.0048	0.000026	0.0052	4.7235	355.07
127	0.000024	0.0048	0.000039	0.0061	4.6037	354.62
128	0.000024	0.0048	0.000026	0.0051	4.6016	354.61
129	0.000023	0.0047	0.000019	0.0041	4.6303	354.57
130	0.000024	0.0047	0.000034	0.0056	4.6537	354.64
131	0.000023	0.0047	0.000021	0.0043	4.7079	354.64
132	0.000023	0.0047	0.000019	0.0047	4.1615	354.78
133	0.000023	0.0047	0.000018	0.0044	4.6914	354.78
134	0.000021	0.0046	0.000020	0.0044	4.3506	354.49
135	0.000022	0.0046	0.000022	0.0046	4.6022	354.78
136	0.000021	0.0045	0.000017	0.0041	4.3581	354.96
137	0.000021	0.0045	0.000033	0.0055	4.2735	355.08
138	0.000020	0.0044	0.000017	0.0040	3.8289	354.84
139	0.000021	0.0045	0.000017	0.0040	4.3047	354.95
140	0.000021	0.0045	0.000017	0.0041	4.1578	355.06
141	0.000021	0.0045	0.000017	0.0040	3.9648	355.34
142	0.000021	0.0044	0.000021	0.0047	4.0724	354.85
143	0.000021	0.0044	0.000018	0.0040	3.7497	355.22
144	0.000020	0.0044	0.000025	0.0045	3.6717	355.05
145	0.000019	0.0043	0.000019	0.0043	3.8661	355.25
146	0.000020	0.0043	0.000017	0.0041	4.2250	354.98
147	0.000020	0.0043	0.000022	0.0041	4.4031	354.75
148	0.000020	0.0043	0.000016	0.0037	3.7400	354.83
149	0.000020	0.0044	0.000022	0.0044	4.3505	354.57
150	0.000020	0.0044	0.000018	0.0041	4.2061	354.90
151	0.000020	0.0043	0.000017	0.0040	3.9775	354.82
152	0.000020	0.0043	0.000019	0.0043	3.6310	354.95
153	0.000019	0.0043	0.000021	0.0047	3.5602	354.88
