ID,Polymer,Solvent,group,Bg,Bth,Pe,phi,Nw,eta_sp,eta_sp_131,eta_sp_2,subgroup,l
125,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.00872562,17307.69231,10482.47248,300.2737529,7954.849617,4,0.255
126,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.00949372,17307.69231,11952.6367,306.5907754,7662.168807,4,0.255
127,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.000796904,5769.230769,3.44373913,6.78677786,939.9404091,4,0.255
128,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.001058058,5769.230769,5.020304348,6.827052475,777.3080847,4,0.255
129,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.001577486,5769.230769,8.715891304,7.027135061,607.1036825,4,0.255
130,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.002095954,5769.230769,13.11,7.286678606,517.2747587,4,0.255
131,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.002725796,5769.230769,21.13593478,8.328899967,493.0793892,4,0.255
132,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.00520772,5769.230769,93.9793913,15.87069095,600.6472115,4,0.255
133,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.006752562,5769.230769,239.4716087,28.78364781,910.3302191,4,0.255
134,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.008124581,5769.230769,456.5626304,43.07696046,1198.893222,4,0.255
135,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.014290506,5769.230769,4280.528413,192.8584299,3633.157789,4,0.255
136,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.000545351,3750,1.676652174,8.351760886,1503.347851,4,0.255
137,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.000869874,3750,2.877195652,7.778311172,1013.97075,4,0.255
138,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.001091663,3750,2.927413043,5.878954918,655.0516636,4,0.255
139,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.002287019,3750,6.767043478,5.162034185,345.0071963,4,0.255
140,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.004116058,3750,19.38619565,6.852795247,305.139445,4,0.255
141,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.005929734,3750,48.91632609,10.72254656,370.9814035,4,0.255
142,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.007638758,3750,96.20471739,15.13832167,439.6626744,4,0.255
143,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.009325698,3750,193.2260217,23.41636571,592.4772105,4,0.255
144,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.00972799,3750,203.4835435,23.33327082,573.3922163,4,0.255
145,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.011780738,3750,290.662,25.9418126,558.4856193,4,0.255
146,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.012090859,3750,484.4607609,41.79267512,883.7166266,4,0.255
147,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.013155638,3750,484.4607609,37.42163332,746.4547913,4,0.255
148,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.015076849,3750,880.9115217,56.9260764,1033.427114,4,0.255
149,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.017111355,3750,1400.468891,76.68266016,1275.479244,4,0.255
150,polystyrene,tetrahydrofuran,8,0.61,0,6.287673698,0.018861663,3750,1917.333848,92.41888766,1437.164594,4,0.255
151,polystyrene,toluene,9,0.74,0.42,4.4,0.000960125,2557.692308,1.101,3.835056554,466.9640698,5,0.255
152,polystyrene,toluene,9,0.74,0.42,4.4,0.001440188,2557.692308,1.867,3.825098589,351.9310981,5,0.255
153,polystyrene,toluene,9,0.74,0.42,4.4,0.001920251,2557.692308,2.746,3.86070281,291.1630336,5,0.255
154,polystyrene,toluene,9,0.74,0.42,4.4,0.013787401,2557.692308,248,26.41410105,510.0803218,5,0.255
155,polystyrene,toluene,9,0.74,0.42,4.4,0.000960125,3201.923077,1.298,3.611574262,439.752424,5,0.255
156,polystyrene,toluene,9,0.74,0.42,4.4,0.001440188,3201.923077,2.267,3.710113865,341.3518414,5,0.255
157,polystyrene,toluene,9,0.74,0.42,4.4,0.001920251,3201.923077,3.411,3.830760154,288.9048451,5,0.255
158,polystyrene,toluene,9,0.74,0.42,4.4,0.000480063,6740.384615,1.099,3.598847897,707.4838723,5,0.255
159,polystyrene,toluene,9,0.74,0.42,4.4,0.000960125,6740.384615,2.875,3.800020343,462.6979913,5,0.255
160,polystyrene,toluene,9,0.74,0.42,4.4,0.001440188,6740.384615,5.205,4.046529099,372.3039803,5,0.255
161,polystyrene,toluene,9,0.74,0.42,4.4,0.001920251,6740.384615,8.592,4.583779584,345.6953914,5,0.255
162,polystyrene,toluene,9,0.74,0.42,4.4,0.005184677,6740.384615,99,14.393038,546.3954888,5,0.255
163,polystyrene,toluene,9,0.74,0.42,4.4,0.01363378,6740.384615,3924,160.9333477,3131.927906,5,0.255
164,polystyrene,toluene,9,0.74,0.42,4.4,0.002592339,9798.076923,26.2,6.492031406,397.9026756,5,0.255
165,polystyrene,toluene,9,0.74,0.42,4.4,0.003456451,9798.076923,45.5,7.736748941,388.695706,5,0.255
166,polystyrene,toluene,9,0.74,0.42,4.4,0.004416577,9798.076923,115.5,14.24916975,604.323561,5,0.255
167,polystyrene,toluene,9,0.74,0.42,4.4,0.002592339,17884.61538,113,15.33977552,940.1891857,5,0.255
168,polystyrene,toluene,9,0.74,0.42,4.4,0.003456451,17884.61538,300.4,27.98390229,1405.916457,5,0.255
169,polystyrene,toluene,9,0.74,0.42,4.4,0.004464583,17884.61538,1074,71.56945093,3012.748467,5,0.255
170,polystyrene,toluene,9,0.74,0.42,4.4,0.009601254,17884.61538,43010,1052.014749,26087.58755,5,0.255
171,polystyrene,toluene,9,0.74,0.42,4.4,0.013768198,17884.61538,170200,2597.195761,50202.54627,5,0.255
172,polystyrene,toluene,9,0.74,0.42,4.4,0.002592339,30769.23077,513.3,40.50184345,2482.395859,5,0.255
173,polystyrene,toluene,9,0.74,0.42,4.4,0.003456451,30769.23077,1375,74.45159587,3740.462026,5,0.255
174,polystyrene,toluene,9,0.74,0.42,4.4,0.004416577,30769.23077,3780,148.499018,6298.012929,5,0.255
175,polystyrene,toluene,9,0.74,0.42,4.4,0.002592339,87980.76923,13977,385.6971021,23639.73606,5,0.255
176,polystyrene,toluene,9,0.74,0.42,4.4,0.003456451,87980.76923,67463,1277.514527,64182.56747,5,0.255
177,polystyrene,toluene,9,0.74,0.42,4.4,0.004416577,87980.76923,127060,1745.699619,74037.11432,5,0.255
178,polystyrene,toluene,9,0.74,0.42,4.4,3.84E-05,226923.0769,1.185,3.144205036,3541.418388,5,0.255
179,polystyrene,toluene,9,0.74,0.42,4.4,5.76E-05,226923.0769,2.026,3.16188455,2691.013091,5,0.255
180,polystyrene,toluene,9,0.74,0.42,4.4,7.68E-05,226923.0769,3.041,3.256796404,2272.036565,5,0.255
181,polystyrene,toluene,9,0.74,0.42,4.4,9.60E-05,226923.0769,4.119,3.293975881,1969.566561,5,0.255
182,polystyrene,toluene,9,0.74,0.42,4.4,0.000192025,226923.0769,14.73,4.75377956,1760.388552,5,0.255
183,polystyrene,toluene,9,0.74,0.42,4.4,0.000883315,226923.0769,2741,120.0221093,15481.00536,5,0.255
184,polystyrene,toluene,9,0.74,0.42,4.4,0.000940923,226923.0769,2866,115.5351588,14265.57736,5,0.255
185,polystyrene,toluene,9,0.74,0.42,4.4,0.003456451,226923.0769,1254000,9206.76006,462549.3381,5,0.255
186,polystyrene,toluene,9,0.74,0.42,4.4,0.006019834,144.2307692,1.26,7.040696367,241.0702367,5,0.255
187,polystyrene,toluene,9,0.74,0.42,4.4,0.009753655,144.2307692,2.53,7.51696378,184.3859485,5,0.255
188,polystyrene,toluene,9,0.74,0.42,4.4,0.015544887,144.2307692,5.83,9.411148198,167.276717,5,0.255
189,polystyrene,toluene,9,0.74,0.42,4.4,0.0179071,144.2307692,7.89,10.58364433,170.5958907,5,0.255
190,polystyrene,toluene,9,0.74,0.42,4.4,0.027736956,144.2307692,25.35,19.17790659,228.455937,5,0.255
191,polystyrene,toluene,9,0.74,0.42,4.4,0.002665117,490.3846154,1.06,5.061163158,304.3241862,5,0.255
192,polystyrene,toluene,9,0.74,0.42,4.4,0.003997675,490.3846154,2,5.616795322,255.1985429,5,0.255
193,polystyrene,toluene,9,0.74,0.42,4.4,0.007175314,490.3846154,4.84,6.321199236,191.702026,5,0.255
