Epoch	Bg_Error	Time
Epoch	Bg_Error	Time
0	0.2101	292.71
1	0.0205	293.00
2	0.0126	293.05
3	0.0108	292.86
4	0.0099	292.86
5	0.0092	293.17
6	0.0093	292.73
7	0.0091	292.70
8	0.0087	292.57
9	0.0085	292.63
10	0.0083	292.73
11	0.0081	292.63
12	0.0082	292.62
13	0.0080	292.20
14	0.0079	292.49
15	0.0080	292.52
16	0.0081	292.36
17	0.0077	292.56
18	0.0077	292.92
19	0.0077	293.02
Epoch	Bg_Error	Time
0	0.1241	293.38
1	0.0161	293.63
2	0.0128	293.46
3	0.0113	292.65
4	0.0105	292.62
5	0.0102	292.87
6	0.0096	292.29
7	0.0093	292.66
8	0.0090	292.12
9	0.0087	292.38
10	0.0086	292.31
11	0.0085	293.19
12	0.0084	292.90
13	0.0082	292.99
14	0.0081	292.70
15	0.0080	292.74
16	0.0079	292.72
17	0.0079	292.41
18	0.0078	292.36
19	0.0078	292.44
Epoch	Bg_Error	Time
0	0.3719	291.83
1	0.3665	291.36
2	0.3679	290.45
3	0.3681	290.57
4	0.3703	290.76
5	0.3692	290.52
6	0.3671	290.72
7	0.3693	290.62
8	0.3709	290.45
Epoch	Bg_Error	Time
0	0.3756	290.60
1	0.3680	290.10
2	0.3681	290.61
3	0.3688	290.41
4	0.3677	290.44
5	0.3666	290.21
6	0.3671	290.88
7	0.3683	290.52
8	0.3679	290.35
Epoch	Bg_Error	Time
0	0.1307	293.49
1	0.0202	293.82
2	0.0142	293.40
3	0.0124	293.75
4	0.0113	293.39
5	0.0106	293.26
6	0.0101	293.39
7	0.0097	293.64
8	0.0094	293.39
9	0.0090	293.33
10	0.0089	293.39
11	0.0087	293.29
12	0.0084	293.34
13	0.0084	293.40
14	0.0082	293.56
15	0.0080	293.45
16	0.0079	293.25
17	0.0079	293.14
18	0.0078	292.99
19	0.0077	293.48
Epoch	Bg_Error	Time
0	0.3663	292.08
1	0.3686	290.52
2	0.3697	290.60
3	0.3700	290.65
4	0.3697	290.73
5	0.3694	290.76
6	0.3704	290.81
7	0.3680	290.82
8	0.3691	290.69
Epoch	Bg_Error	Time
0	0.3069	292.89
1	0.0242	292.98
2	0.0140	292.54
3	0.0130	292.59
4	0.0112	292.37
5	0.0101	292.91
6	0.0096	292.72
7	0.0091	292.50
8	0.0090	292.17
9	0.0086	292.39
10	0.0085	292.27
11	0.0083	292.07
12	0.0081	292.52
13	0.0080	292.38
14	0.0079	292.06
15	0.0078	292.30
16	0.0076	292.08
17	0.0077	292.32
18	0.0076	292.06
19	0.0075	292.02
Epoch	Bg_Error	Time
0	0.1814	292.67
1	0.0208	292.65
2	0.0131	292.46
3	0.0123	292.32
4	0.0108	292.45
5	0.0101	292.11
6	0.0095	292.06
7	0.0090	292.00
8	0.0089	292.29
9	0.0086	292.06
10	0.0084	292.18
11	0.0083	292.45
12	0.0083	291.98
13	0.0080	291.99
14	0.0079	292.23
15	0.0079	292.11
16	0.0078	291.72
17	0.0077	292.05
18	0.0076	291.79
19	0.0074	291.96
Epoch	Bg_Error	Time
0	0.3763	291.82
1	0.3695	290.60
2	0.3685	290.17
3	0.3686	289.85
4	0.3680	290.63
5	0.3686	290.26
6	0.3694	290.17
7	0.3675	290.43
8	0.3693	290.42
Epoch	Bg_Error	Time
0	0.1467	293.60
1	0.0191	293.88
2	0.0142	293.81
3	0.0131	293.68
4	0.0111	293.69
5	0.0104	293.88
6	0.0099	293.42
7	0.0094	293.60
8	0.0091	293.52
9	0.0088	293.31
10	0.0086	293.62
11	0.0083	293.28
12	0.0085	293.48
13	0.0083	293.39
14	0.0080	293.45
15	0.0081	293.16
16	0.0079	293.23
17	0.0078	293.30
18	0.0077	293.46
19	0.0076	293.32
Epoch	Bg_Error	Time
0	0.2652	293.43
1	0.0181	293.81
2	0.0147	293.75
3	0.0130	293.78
4	0.0126	294.41
5	0.0113	294.02
6	0.0116	293.97
7	0.0148	293.76
8	0.0102	293.93
Epoch	Bg_Error	Time
0	0.2272	292.96
1	0.0177	293.10
2	0.0128	292.75
3	0.0114	292.66
4	0.0110	292.17
5	0.0102	292.41
6	0.0097	292.65
7	0.0094	292.59
8	0.0091	292.79
9	0.0087	292.60
10	0.0086	292.76
11	0.0083	292.61
12	0.0083	292.44
13	0.0080	292.36
14	0.0081	292.14
15	0.0081	292.16
16	0.0080	292.37
17	0.0078	292.19
18	0.0078	292.23
19	0.0077	292.21
Epoch	Bg_Error	Time
0	0.3701	291.41
1	0.3695	290.85
2	0.3675	290.64
3	0.3681	290.29
4	0.3675	290.54
5	0.3679	290.80
6	0.3672	290.22
7	0.3667	290.22
8	0.3686	290.76
Epoch	Bg_Error	Time
0	0.3707	290.66
1	0.3697	290.55
2	0.3685	290.43
3	0.3687	290.51
4	0.3685	290.90
5	0.3692	290.40
6	0.3675	290.32
7	0.3671	290.10
8	0.3687	291.05
Epoch	Bg_Error	Time
0	0.1600	292.56
1	0.0157	292.70
2	0.0123	292.61
3	0.0110	292.61
4	0.0104	292.26
5	0.0097	292.58
6	0.0094	292.02
7	0.0090	292.15
8	0.0089	292.13
9	0.0087	291.98
10	0.0085	292.03
11	0.0084	292.10
12	0.0083	292.34
13	0.0082	292.01
14	0.0082	292.16
15	0.0079	291.73
16	0.0080	291.88
17	0.0078	291.96
18	0.0079	291.72
19	0.0077	291.69
Epoch	Bg_Error	Time
0	0.1595	292.48
1	0.0184	292.58
2	0.0137	292.78
3	0.0116	292.48
4	0.0107	292.95
5	0.0100	292.25
6	0.0094	292.18
7	0.0091	292.22
8	0.0087	292.40
9	0.0087	292.60
10	0.0083	292.42
11	0.0084	292.17
12	0.0082	292.10
13	0.0081	292.31
14	0.0080	292.44
15	0.0079	292.63
16	0.0078	292.05
17	0.0077	291.90
18	0.0075	292.26
19	0.0076	292.13
Epoch	Bg_Error	Time
0	0.1755	292.29
1	0.0221	292.11
2	0.0125	291.83
3	0.0113	292.13
4	0.0099	291.97
5	0.0095	292.10
6	0.0091	291.67
7	0.0089	291.66
8	0.0086	291.65
9	0.0084	291.85
10	0.0083	291.67
11	0.0080	292.02
12	0.0080	291.59
13	0.0081	291.85
14	0.0079	291.60
15	0.0077	291.81
16	0.0077	291.79
17	0.0077	291.83
18	0.0076	291.24
19	0.0076	291.53
Epoch	Bg_Error	Time
0	0.2022	292.83
1	0.0300	292.84
2	0.0152	293.03
3	0.0123	292.98
4	0.0113	292.90
5	0.0103	292.65
6	0.0097	292.76
7	0.0094	292.54
8	0.0091	292.68
Epoch	Bg_Error	Time
0	0.1542	292.42
1	0.0167	292.53
2	0.0133	292.73
3	0.0113	292.86
4	0.0102	292.98
5	0.0096	292.69
6	0.0090	292.88
7	0.0087	291.96
8	0.0084	292.03
9	0.0082	291.90
10	0.0081	292.01
11	0.0079	292.27
12	0.0079	291.98
13	0.0078	292.23
14	0.0077	291.92
15	0.0077	292.17
16	0.0075	291.72
17	0.0074	291.93
18	0.0074	291.43
19	0.0074	291.87
Epoch	Bg_Error	Time
0	0.1620	292.85
1	0.0314	293.66
2	0.0177	293.75
3	0.0143	293.61
4	0.0128	293.63
5	0.0121	293.39
6	0.0113	293.16
7	0.0108	292.92
8	0.0104	293.47
Epoch	Bg_Error	Time
0	0.2605	292.80
1	0.0253	292.68
2	0.0131	292.33
3	0.0115	292.75
4	0.0109	292.74
5	0.0101	292.47
6	0.0095	292.27
7	0.0093	292.29
8	0.0090	292.56
9	0.0086	292.50
10	0.0086	292.77
Epoch	Bg_Error	Time
0	0.1308	293.47
1	0.0224	293.87
2	0.0141	293.39
3	0.0127	292.69
4	0.0113	292.74
5	0.0105	292.55
6	0.0101	293.06
7	0.0097	293.10
8	0.0092	292.57
Epoch	Bg_Error	Time
0	0.1386	291.60
1	0.0129	291.44
2	0.0108	291.73
3	0.0101	291.29
4	0.0096	291.74
5	0.0091	300.74
6	0.0087	322.41
7	0.0088	322.55
8	0.0085	299.78
9	0.0085	291.63
10	0.0083	291.64
11	0.0082	291.59
12	0.0082	291.51
13	0.0081	291.15
14	0.0079	291.41
15	0.0079	291.01
16	0.0081	291.67
Epoch	Bg_Error	Time
0	0.3786	300.15
1	0.3709	302.00
2	0.3186	302.12
3	0.0657	303.31
4	0.0217	302.81
5	0.0161	302.74
6	0.0143	302.63
7	0.0130	302.62
8	0.0124	302.90
Epoch	Bg_Error	Time
0	0.2269	302.21
1	0.0270	302.47
2	0.0199	301.96
3	0.0150	302.75
4	0.0130	302.48
5	0.0122	301.96
6	0.0110	295.27
7	0.0104	293.64
8	0.0100	293.59
Epoch	Bg_Error	Time
0	0.3673	292.30
1	0.0580	292.59
2	0.0137	292.82
3	0.0145	292.61
4	0.0117	292.21
5	0.0104	292.64
6	0.0095	292.08
7	0.0090	292.22
8	0.0086	292.17
9	0.0084	292.04
10	0.0081	292.41
11	0.0081	291.94
12	0.0080	292.03
13	0.0078	292.50
14	0.0076	292.08
15	0.0077	291.91
16	0.0075	292.25
