Bth-Train-True,Bth-Train-Pred,Nw-min,Nw-max,Num-Nw
0.38951606,0.38848826,2666.913818359375,83039.078125,11.0
0.3546711,0.35327995,2430.245849609375,80506.25,8.0
0.33841595,0.3403241,1675.773193359375,78050.6796875,6.0
0.39170003,0.3871517,19973.236328125,55512.98828125,3.0
0.49034745,0.49175003,24809.546875,73361.9453125,8.0
0.4175285,0.41351426,5437.8349609375,50586.64453125,11.0
0.585878,0.575734,40725.41015625,91125.78125,7.0
0.4929582,0.49025232,11796.3837890625,80506.25,5.0
0.47206575,0.4719499,12167.5126953125,44691.42578125,7.0
0.2652378,0.26508257,442.3233947753906,703.936767578125,2.0
0.7994145,0.791332,40725.41015625,88346.296875,6.0
0.3369009,0.33394727,57259.49609375,93992.7109375,7.0
0.38117173,0.3739345,64812.5625,64812.5625,1.0
0.2661838,0.27137697,88346.296875,88346.296875,1.0
0.43138015,0.43172252,1391.546630859375,29876.955078125,7.0
0.25572395,0.25368974,415.7517395019531,55512.98828125,8.0
0.79823947,0.73248625,16585.58984375,93992.7109375,12.0
0.29166776,0.29306155,314.599365234375,73361.9453125,7.0
0.26895264,0.26990473,532.6689453125,38278.91796875,9.0
0.40803245,0.40913093,46097.47265625,91125.78125,9.0
0.33968332,0.33305994,22607.892578125,71124.2890625,4.0
0.3895207,0.39032096,10749.5458984375,93992.7109375,7.0
0.38441223,0.3838126,43328.265625,60919.08203125,2.0
0.44524056,0.44307482,8134.18212890625,34881.9609375,3.0
0.34363782,0.34161404,1391.546630859375,49043.66796875,8.0
0.4821994,0.48024273,42006.68359375,88346.296875,6.0
0.29217774,0.29139486,901.8970336914062,59060.953125,7.0
0.30026418,0.30252194,1120.281982421875,32786.5,3.0
0.3804367,0.3904104,15113.7490234375,78050.6796875,3.0
0.28118074,0.28260636,73361.9453125,73361.9453125,1.0
0.4218129,0.41885138,9207.1572265625,49043.66796875,5.0
0.24606614,0.23778403,52178.1640625,96949.8359375,6.0
0.27605364,0.2773875,19973.236328125,88346.296875,2.0
0.30429393,0.3012992,847.7174682617188,66851.6484375,8.0
0.3462485,0.34713274,2585.568603515625,46097.47265625,9.0
0.5162399,0.5131608,39483.21875,91125.78125,8.0
0.35531086,0.35436416,796.7926025390625,83039.078125,9.0
0.30394268,0.30370983,80506.25,80506.25,1.0
0.73481274,0.6995254,12945.166015625,30816.919921875,3.0
0.4915325,0.4903886,16079.703125,68954.8828125,3.0
0.22594585,0.22850165,66851.6484375,88346.296875,4.0
0.29876578,0.29662836,602.9329833984375,24052.81640625,8.0
0.7146926,0.69261,30816.919921875,93992.7109375,7.0
0.27423853,0.2728,60919.08203125,96949.8359375,5.0
0.6718967,0.6947545,5785.37939453125,91125.78125,9.0
0.5507592,0.5969252,46097.47265625,46097.47265625,1.0
0.34180287,0.3386476,2750.818115234375,66851.6484375,12.0
0.4726426,0.47371808,9795.607421875,49043.66796875,4.0
0.51454836,0.579339,2506.70458984375,96949.8359375,11.0
0.39477497,0.3962785,3635.281982421875,46097.47265625,8.0
0.80376256,0.72327256,12945.166015625,91125.78125,5.0
0.761655,0.7472285,37111.34765625,88346.296875,4.0
0.4075376,0.40253234,3635.281982421875,26395.181640625,6.0
0.5697677,0.5695197,55512.98828125,55512.98828125,1.0
0.309783,0.30794466,277.9368896484375,29876.955078125,6.0
0.2909168,0.2912984,516.4216918945312,83039.078125,9.0
0.48238644,0.47863647,2837.3623046875,50586.64453125,12.0
0.35421115,0.35061142,1896.823486328125,80506.25,3.0
0.42137337,0.41829064,5608.916015625,47547.7578125,4.0
0.58306587,0.6004696,10421.66796875,85651.5859375,9.0
0.28341073,0.28150305,456.23944091796875,71124.2890625,12.0
0.8199363,0.69475126,4804.12548828125,75670.0078125,12.0
0.33347267,0.33275977,1575.1046142578125,91125.78125,9.0
0.3835314,0.38280296,3524.400146484375,6548.52490234375,2.0
0.444947,0.4426024,7645.53857421875,66851.6484375,11.0
0.62758696,0.56025875,4657.591796875,4657.591796875,1.0
0.3571422,0.35990506,4114.81005859375,32786.5,5.0
