device = device(type='cuda', index=1)
Epoch	train_loss	Bth Train Error	test_loss	Bth Test Error	Bth Exp Data Error	time
101	0.001003	0.0163	0.000994	0.0169	14.2618	356.72
102	0.001002	0.0163	0.000921	0.0152	16.2543	356.94
103	0.000989	0.0163	0.000970	0.0175	15.1153	356.88
104	0.000993	0.0164	0.001051	0.0167	15.0581	357.02
105	0.001016	0.0164	0.000990	0.0150	17.0650	357.52
106	0.000990	0.0162	0.000928	0.0152	20.9013	357.57
107	0.000987	0.0162	0.000954	0.0180	14.6517	357.40
108	0.000980	0.0162	0.000921	0.0145	17.7801	357.53
109	0.000954	0.0160	0.000971	0.0166	13.7939	356.98
110	0.000961	0.0160	0.000993	0.0158	11.9959	356.96
111	0.000979	0.0162	0.000958	0.0200	14.8581	357.54
112	0.001008	0.0165	0.000878	0.0149	13.7999	357.11
113	0.000996	0.0162	0.000906	0.0151	15.1035	357.05
114	0.000979	0.0161	0.000876	0.0149	15.5424	356.85
115	0.000969	0.0160	0.000915	0.0157	17.4280	356.92
116	0.000986	0.0161	0.000938	0.0153	12.6329	356.78
117	0.000928	0.0156	0.000974	0.0152	8.3587	356.88
118	0.000990	0.0161	0.001022	0.0168	11.6750	356.95
119	0.000959	0.0161	0.001029	0.0152	15.0166	357.21
120	0.000952	0.0160	0.000997	0.0156	18.2427	356.74
121	0.000954	0.0160	0.000986	0.0153	14.2297	357.30
122	0.000947	0.0156	0.000966	0.0149	20.0616	356.82
123	0.000957	0.0158	0.000918	0.0156	15.8290	356.37
124	0.000981	0.0158	0.000992	0.0182	10.4446	357.11
125	0.000964	0.0159	0.000962	0.0151	14.3395	357.71
126	0.000935	0.0156	0.001014	0.0164	11.6538	357.62
127	0.001030	0.0166	0.001074	0.0162	8.2122	357.52
128	0.000967	0.0158	0.001065	0.0158	11.6974	357.49
129	0.000967	0.0158	0.000901	0.0150	16.8148	357.87
130	0.000946	0.0158	0.000914	0.0144	16.4606	357.01
131	0.000978	0.0157	0.000911	0.0147	15.4024	356.69
132	0.000961	0.0158	0.001076	0.0202	15.9502	356.94
133	0.000946	0.0157	0.000964	0.0184	19.6347	356.95
134	0.000965	0.0157	0.000950	0.0146	15.9765	357.03
135	0.000995	0.0160	0.000945	0.0167	14.4419	357.12
136	0.000960	0.0159	0.001031	0.0170	15.5479	357.46
137	0.000952	0.0157	0.000955	0.0166	13.9227	357.26
138	0.000948	0.0156	0.000939	0.0157	15.6871	356.99
139	0.000984	0.0158	0.000932	0.0162	14.0046	356.97
140	0.000944	0.0157	0.000941	0.0165	14.0920	356.78
141	0.000972	0.0158	0.001016	0.0166	13.0109	356.93
142	0.000969	0.0159	0.000917	0.0143	15.1019	356.72
143	0.000953	0.0156	0.000909	0.0147	15.2614	356.52
144	0.000919	0.0155	0.000975	0.0150	12.9681	356.82
145	0.000971	0.0158	0.000943	0.0161	16.6109	356.89
146	0.000968	0.0158	0.000892	0.0168	18.0001	356.92
147	0.000959	0.0157	0.001074	0.0160	17.3588	356.89
148	0.000993	0.0157	0.000922	0.0158	16.9414	356.35
149	0.000906	0.0153	0.000955	0.0169	15.5537	357.21
150	0.000951	0.0157	0.000929	0.0152	20.8515	356.72
151	0.000973	0.0159	0.000891	0.0184	16.5824	356.77
152	0.000918	0.0154	0.000952	0.0166	17.1791	356.98
153	0.000950	0.0156	0.000945	0.0152	14.1743	356.67
154	0.000955	0.0156	0.000933	0.0156	17.1058	357.27
155	0.000924	0.0155	0.000901	0.0146	15.1741	357.07
156	0.000951	0.0160	0.000944	0.0157	17.9822	356.64
157	0.000942	0.0155	0.001136	0.0165	8.7107	356.70
158	0.000931	0.0152	0.000996	0.0170	11.7367	356.54
159	0.000942	0.0156	0.000953	0.0161	16.5846	356.87
160	0.000942	0.0156	0.000915	0.0138	16.3734	356.92
161	0.000972	0.0156	0.000954	0.0146	11.8781	356.45
162	0.000976	0.0158	0.000892	0.0172	15.0510	356.27
163	0.000923	0.0154	0.000927	0.0148	15.3904	356.55
164	0.000937	0.0157	0.000963	0.0152	18.0042	356.34
165	0.000963	0.0157	0.000946	0.0169	19.0033	356.04
166	0.000930	0.0156	0.000896	0.0143	19.1643	356.22
167	0.000953	0.0155	0.000940	0.0145	15.4613	356.17
168	0.000926	0.0155	0.000975	0.0147	18.2462	356.01
169	0.000952	0.0158	0.000924	0.0166	14.1296	356.83
170	0.000939	0.0155	0.000913	0.0153	13.7676	357.29
171	0.000936	0.0155	0.001020	0.0155	12.3031	357.27
172	0.000935	0.0155	0.000889	0.0142	18.0207	357.53
173	0.000966	0.0157	0.000907	0.0144	13.7023	357.37
174	0.000932	0.0154	0.000911	0.0152	18.6704	357.25
175	0.000965	0.0157	0.001097	0.0164	15.7099	357.18
176	0.000945	0.0157	0.000867	0.0145	11.5470	356.77
177	0.000952	0.0156	0.000895	0.0144	14.6217	356.39
178	0.000977	0.0158	0.000933	0.0143	11.9224	356.75
179	0.000911	0.0153	0.000859	0.0137	12.2440	356.45
180	0.000950	0.0157	0.000893	0.0149	12.8255	356.63
181	0.000955	0.0159	0.001220	0.0199	9.6129	357.26
182	0.000955	0.0159	0.000923	0.0151	11.0515	357.05
183	0.000975	0.0159	0.000897	0.0149	15.2668	356.54
184	0.000948	0.0156	0.000908	0.0159	16.4305	356.72
185	0.000937	0.0155	0.000896	0.0137	12.8997	356.77
186	0.000959	0.0157	0.000960	0.0154	13.8580	356.83
187	0.000951	0.0158	0.000937	0.0151	10.3507	356.49
188	0.000954	0.0158	0.000917	0.0144	14.4105	356.84
189	0.000958	0.0155	0.000966	0.0248	11.9225	356.68
190	0.000940	0.0155	0.000882	0.0144	14.7518	356.95
191	0.000954	0.0155	0.000835	0.0138	12.2489	356.56
192	0.000941	0.0154	0.000877	0.0142	19.8085	356.99
193	0.000943	0.0154	0.000941	0.0147	11.5034	356.42
194	0.000954	0.0156	0.000967	0.0154	18.1499	357.05
195	0.000931	0.0156	0.000970	0.0157	14.6129	356.87
196	0.000932	0.0154	0.000889	0.0149	14.0011	357.06
197	0.000963	0.0154	0.000947	0.0147	16.1216	356.99
198	0.000957	0.0156	0.000977	0.0169	15.4187	357.00
199	0.000932	0.0154	0.000890	0.0143	15.6750	356.45
200	0.000947	0.0156	0.000961	0.0171	15.6204	356.79
201	0.000955	0.0155	0.000907	0.0182	16.8944	356.47
202	0.000938	0.0156	0.001020	0.0151	13.9159	356.85
203	0.000957	0.0158	0.000941	0.0175	15.5849	356.51
204	0.000969	0.0157	0.000935	0.0149	15.0652	357.19
205	0.000970	0.0157	0.001004	0.0179	17.6053	356.40
206	0.000930	0.0154	0.000911	0.0149	20.5612	356.90
207	0.000975	0.0158	0.000940	0.0145	16.8561	356.58
208	0.000904	0.0152	0.000869	0.0136	20.3466	356.91
209	0.000970	0.0155	0.000940	0.0158	15.2758	356.62
210	0.000932	0.0155	0.000939	0.0147	16.6143	356.67
211	0.000927	0.0153	0.000901	0.0147	17.8824	356.89
212	0.000918	0.0152	0.000907	0.0144	17.7181	356.81
213	0.000930	0.0153	0.000932	0.0163	19.2115	356.54
214	0.000944	0.0153	0.000908	0.0168	14.5641	356.41
215	0.000904	0.0152	0.000962	0.0172	17.8678	356.46
216	0.000928	0.0152	0.000888	0.0145	14.4219	356.21
217	0.000960	0.0155	0.000966	0.0152	19.5252	357.02
218	0.000930	0.0154	0.000930	0.0149	12.9194	356.61
219	0.000978	0.0157	0.000911	0.0185	13.9123	357.10
220	0.000920	0.0153	0.001034	0.0154	14.4065	357.18
221	0.000930	0.0152	0.000935	0.0169	17.1670	357.48
222	0.000948	0.0154	0.001100	0.0163	14.2424	356.98
223	0.000927	0.0153	0.000947	0.0153	17.9998	357.34
224	0.000934	0.0153	0.000922	0.0142	14.1591	356.52
225	0.000943	0.0155	0.000919	0.0146	16.0462	356.93
226	0.000907	0.0150	0.001003	0.0149	18.9107	357.11
227	0.000927	0.0151	0.000982	0.0179	12.2890	357.27
228	0.000954	0.0154	0.000957	0.0158	18.1089	356.61
229	0.000948	0.0155	0.000929	0.0142	16.3577	357.03
230	0.000923	0.0154	0.000982	0.0154	14.6407	357.21
231	0.000940	0.0154	0.000940	0.0160	16.4859	357.04
232	0.000946	0.0154	0.000914	0.0174	15.6687	356.58
233	0.000955	0.0155	0.000936	0.0152	16.8232	356.82
234	0.000941	0.0155	0.000907	0.0160	17.8329	356.59
235	0.000924	0.0153	0.001036	0.0157	8.2542	356.75
236	0.000955	0.0154	0.000943	0.0142	10.4891	356.43
237	0.000940	0.0155	0.000917	0.0159	16.4360	356.56
238	0.000917	0.0153	0.000946	0.0142	14.7130	356.75
239	0.000944	0.0153	0.000926	0.0149	18.2388	356.82
240	0.000930	0.0156	0.000874	0.0149	18.6395	356.86
241	0.000946	0.0155	0.000927	0.0164	19.9190	356.73
242	0.000926	0.0154	0.000880	0.0150	18.0801	356.53
243	0.000955	0.0154	0.000945	0.0167	16.1322	356.65
244	0.000909	0.0151	0.000911	0.0143	17.8548	356.84
245	0.000926	0.0151	0.000885	0.0141	17.0200	356.74
246	0.000870	0.0148	0.000942	0.0164	17.4606	357.39
247	0.000940	0.0153	0.000865	0.0139	13.9731	356.69
248	0.000940	0.0153	0.000890	0.0142	12.0553	356.68
249	0.000953	0.0155	0.000958	0.0147	11.9275	356.92
250	0.000941	0.0154	0.000908	0.0142	17.6010	356.47
251	0.000932	0.0151	0.000906	0.0155	12.0523	357.46
252	0.000919	0.0151	0.001077	0.0169	11.6863	356.59
253	0.000957	0.0155	0.000883	0.0173	16.8282	356.87
