Bg-Train-True,Bg-Train-Pred,Nw-min,Nw-max,Num-Nw
1.1365561,1.1403943,14205.822265625,85651.5859375,9.0
0.90694565,0.90326005,10421.66796875,24809.546875,4.0
1.3736867,1.3813822,52178.1640625,78050.6796875,4.0
0.89396054,0.890181,5967.39453125,78050.6796875,9.0
1.3132412,1.3114583,28965.658203125,55512.98828125,6.0
0.66578203,0.6602005,1782.875732421875,68954.8828125,9.0
1.5303771,1.5486859,50586.64453125,88346.296875,3.0
0.86818933,0.8770135,4804.12548828125,43328.265625,3.0
0.3905742,0.3811256,378.8570251464844,80506.25,8.0
0.9913198,0.9937838,8926.32421875,53819.75390625,4.0
0.76631093,0.76112604,3211.636962890625,14205.822265625,5.0
0.70028067,0.7029635,2147.0322265625,4955.26953125,2.0
1.048013,1.0391579,9496.826171875,19364.01953125,4.0
0.61464363,0.611719,1728.4951171875,96949.8359375,10.0
0.8363364,0.8370256,4657.591796875,78050.6796875,12.0
0.7796327,0.77648073,3113.677001953125,83039.078125,6.0
0.43253455,0.4230966,415.7517395019531,55512.98828125,7.0
0.6469101,0.6411324,1527.0614013671875,50586.64453125,12.0
0.6120626,0.6081933,2837.3623046875,30816.919921875,4.0
0.43348473,0.42706224,6155.13623046875,6155.13623046875,1.0
0.7735938,0.7736318,49043.66796875,49043.66796875,1.0
1.0020415,0.99663854,8390.09375,50586.64453125,9.0
0.92978275,0.93004197,8390.09375,38278.91796875,7.0
1.4881408,1.5236324,62835.67578125,91125.78125,3.0
0.57743025,0.5686624,1675.773193359375,85651.5859375,7.0
1.0884681,1.0925423,18773.384765625,64812.5625,8.0
0.7400721,0.73356855,3211.636962890625,57259.49609375,9.0
0.8624941,0.8596704,4515.52783203125,57259.49609375,11.0
0.73599184,0.7308531,2585.568603515625,96949.8359375,11.0
1.1616526,1.1544927,47547.7578125,66851.6484375,3.0
1.2261312,1.2192061,78050.6796875,93992.7109375,2.0
1.3263046,1.3393795,28082.158203125,85651.5859375,8.0
0.7075776,0.7028798,2147.0322265625,91125.78125,9.0
0.7420002,0.73307896,3749.652587890625,8654.056640625,3.0
0.6929584,0.68728673,2750.818115234375,53819.75390625,5.0
1.2609327,1.2742484,24052.81640625,78050.6796875,11.0
0.56283355,0.54526836,3524.400146484375,93992.7109375,2.0
1.1999424,1.1978817,16585.58984375,88346.296875,7.0
1.2612562,1.2608945,55512.98828125,96949.8359375,10.0
1.1530612,1.1550114,13772.521484375,21249.771484375,3.0
1.2682977,1.2703805,24809.546875,83039.078125,7.0
1.1971657,1.2018443,17107.39453125,62835.67578125,11.0
0.9675921,0.9647036,7645.53857421875,75670.0078125,4.0
0.6667056,0.6602502,1624.659423828125,66851.6484375,12.0
0.70775723,0.70382595,2284.25390625,46097.47265625,6.0
0.96138865,0.95613974,8134.18212890625,57259.49609375,5.0
1.1720405,1.1785237,19364.01953125,96949.8359375,12.0
1.5094658,1.4927987,85651.5859375,88346.296875,2.0
0.5054967,0.49346876,796.7926025390625,49043.66796875,6.0
0.5058024,0.5006038,901.8970336914062,80506.25,9.0
0.95441985,0.9282031,9207.1572265625,9207.1572265625,1.0
1.2756481,1.2694043,60919.08203125,96949.8359375,8.0
0.8281077,0.8256433,6348.78466796875,93992.7109375,12.0
0.7241385,0.7177279,2214.58056640625,71124.2890625,11.0
0.8112128,0.8119459,3749.652587890625,91125.78125,11.0
1.108772,1.1465384,55512.98828125,55512.98828125,1.0
1.2536144,1.2518058,38278.91796875,57259.49609375,3.0
1.0337522,1.0292139,18773.384765625,80506.25,7.0
0.92465264,0.9249839,9207.1572265625,88346.296875,7.0
0.6596379,0.6549001,1956.4998779296875,23319.166015625,5.0
0.39830267,0.39284778,516.4216918945312,31786.458984375,7.0
0.63809335,0.63487685,2430.245849609375,96949.8359375,12.0
1.2344213,1.2274766,32786.5,60919.08203125,3.0
1.2971177,1.2881687,49043.66796875,62835.67578125,3.0
0.40487877,0.4070897,18200.767578125,18200.767578125,1.0
0.5254137,0.52157414,621.9020385742188,68954.8828125,6.0
1.355406,1.367616,32786.5,88346.296875,8.0
1.3221669,1.3144099,57259.49609375,91125.78125,4.0
0.5992664,0.6022864,1086.111572265625,96949.8359375,3.0
1.1324649,1.1442032,12945.166015625,64812.5625,8.0
0.70838165,0.70636714,2837.3623046875,6754.5498046875,3.0
0.74919105,0.7659877,5271.97216796875,96949.8359375,3.0
0.9761599,0.980802,10421.66796875,85651.5859375,9.0
0.4958132,0.49944833,726.0834350585938,60919.08203125,7.0
1.1133435,1.1117554,14652.7548828125,93992.7109375,7.0
1.5060943,1.5212524,39483.21875,73361.9453125,3.0
0.60006195,0.6029161,3749.652587890625,68954.8828125,4.0
