Bg-Train-True,Bg-Train-Pred,Nw-min,Nw-max,Num-Nw
0.66413295,0.6707296,21249.771484375,75670.0078125,4.0
1.0096087,1.0059583,8390.09375,85651.5859375,11.0
1.3639627,1.3480577,30816.919921875,75670.0078125,10.0
0.37931463,0.37776554,428.8318176269531,93992.7109375,8.0
1.193193,1.1859312,24052.81640625,80506.25,2.0
0.70869756,0.7115716,5437.8349609375,73361.9453125,10.0
1.2847624,1.2698492,26395.181640625,73361.9453125,2.0
0.5625061,0.5707263,2018.0538330078125,59060.953125,5.0
0.9609709,0.96919566,9207.1572265625,50586.64453125,3.0
0.55273664,0.55000854,1435.326416015625,96949.8359375,11.0
0.7656573,0.76386744,22607.892578125,68954.8828125,2.0
0.7175479,0.7137293,6155.13623046875,47547.7578125,6.0
0.897161,0.8870742,22607.892578125,22607.892578125,1.0
1.363772,1.3658109,59060.953125,85651.5859375,5.0
0.9481914,0.9476636,6548.52490234375,71124.2890625,11.0
0.6635437,0.6634655,1728.4951171875,57259.49609375,10.0
1.278841,1.2768024,20601.619140625,96949.8359375,8.0
0.9609524,0.9613115,8926.32421875,96949.8359375,7.0
0.45273224,0.44821912,390.7763366699219,57259.49609375,12.0
1.0850817,1.0871458,19364.01953125,71124.2890625,6.0
1.1968611,1.2100418,17107.39453125,85651.5859375,10.0
0.49027148,0.4939095,901.8970336914062,83039.078125,3.0
1.008429,1.0056746,13352.4375,50586.64453125,4.0
1.0786691,1.079832,10421.66796875,47547.7578125,9.0
0.8368069,0.8203284,28082.158203125,28082.158203125,1.0
0.77120423,0.7706077,3749.652587890625,73361.9453125,9.0
1.1196834,1.1199167,55512.98828125,96949.8359375,9.0
1.0044279,0.9985803,23319.166015625,57259.49609375,3.0
0.77959216,0.77453816,3113.677001953125,80506.25,11.0
0.7842938,0.7824241,12945.166015625,12945.166015625,1.0
0.37761956,0.36227155,230.7962188720703,748.9269409179688,2.0
1.1031526,1.0931149,11436.57421875,75670.0078125,3.0
1.2485423,1.255789,19973.236328125,55512.98828125,11.0
0.5063408,0.5055522,1052.9833984375,64812.5625,5.0
1.0728235,1.0711838,10421.66796875,78050.6796875,12.0
1.1137047,1.1173879,14652.7548828125,88346.296875,8.0
0.9614912,0.9576228,8654.056640625,91125.78125,11.0
1.4287561,1.3760175,34881.9609375,34881.9609375,1.0
0.8334116,0.8445591,33818.00390625,47547.7578125,2.0
0.93154037,0.91525275,85651.5859375,93992.7109375,2.0
0.87154955,0.8719912,5608.916015625,91125.78125,10.0
0.73324525,0.7401668,9207.1572265625,64812.5625,4.0
1.2914927,1.2846113,21918.31640625,91125.78125,8.0
0.39394084,0.39071918,295.7004699707031,75670.0078125,12.0
1.083314,1.0715889,15589.24609375,93992.7109375,8.0
0.6584622,0.6666015,17645.61328125,50586.64453125,2.0
1.1157669,1.1122723,15589.24609375,78050.6796875,8.0
0.88294756,0.87996894,10421.66796875,71124.2890625,10.0
0.8695246,0.870824,12945.166015625,88346.296875,6.0
1.1833739,1.1785524,18773.384765625,96949.8359375,10.0
0.70434,0.70388293,5967.39453125,5967.39453125,1.0
1.3223155,1.3190668,53819.75390625,96949.8359375,6.0
1.0885518,1.0811627,12550.3173828125,50586.64453125,4.0
1.4716365,1.4619328,53819.75390625,88346.296875,8.0
0.9451873,0.94241184,7645.53857421875,66851.6484375,10.0
1.4348011,1.4271826,52178.1640625,88346.296875,6.0
0.44630998,0.44595766,378.8570251464844,20601.619140625,3.0
0.71948624,0.7199377,2147.0322265625,73361.9453125,10.0
0.8027253,0.80084574,33818.00390625,33818.00390625,1.0
1.5210377,1.5236589,73361.9453125,93992.7109375,3.0
0.61365795,0.6073776,2147.0322265625,78050.6796875,11.0
